,sent_1,sent_2,score
0,A person is on a baseball team.,A person is playing basketball on a team.,2.4
1,Our current vehicles will be in museums when everyone has their own aircraft.,The car needs to some work,0.2
2,A woman supervisor is instructing the male workers.,A woman is working as a nurse.,1.0
3,A bike is next to a couple women.,A child next to a bike.,2.0
4,The group is eating while taking in a breathtaking view.,A group of people take a look at an unusual tree.,2.2
5,The boy is raising his hand.,The man is raising his hand.,3.4
6,A man with a gray beard is being shaved in front of a lecture hall,A man with a beard is sitting in the grass.,0.8
7,The sky has very little to no clouds.,"This Lady might be ready for Rock Climbing, or just watching the Clouds, above.",0.4
8,The young boy jumps barefoot outside in the front yard.,The teen rode his bike around the people walking in the courtyard.,0.4
9,There are dogs in the forest.,The dogs are alone in the forest.,4.0
10,Some cyclists stop near a sign.,Two men stop to talk near a sign outside.,3.4
11,These cooks in the white are busy in the kitchen making dinner for their customers.,The women are preparing dinner in their kitchen.,3.0
12,A young person  deep in thought.,A young man deep in thought.,4.6
13,A man is carrying a canoe with a dog.,A dog is carrying a man in a canoe.,1.8
14,A man is performing labor.,A man is performing today.,2.8
15,Two men wearing traditional clothing is standing outside.,Three women wearing black vests and gray shirts are talking outside of a building.,2.0
16,a woman watches a rap group live,An audience watches a girl dance.,2.2
17,A girl dancing on a sandy beach.,A girl is on a sandy beach.,3.6
18,a man wearing a gray hat fishing out of a fishing boat.,A man wearing a straw hat and fishing vest in a stream.,2.6
19,A little girl in an orange striped outfit is airborne whilst bouncing on a bed.,A dog in a red shirt is chasing a squirrel through the glass.,0.2
20,A person is watching people ski down the hill.,The woman is jumping a long distance while people watch.,1.4
21,The yard has a dog.,The dog is running after another dog.,1.6
22,The woman is drinking lemonade and watching T.V.,The man is sitting drinking coffee.,0.4
23,Three women cook.,Two women cooking.,3.2
24,The woman is kneeling next to a cat.,A girl is standing next to a man.,0.2
25,The young adult are cold,Asian children are playing with a dog.,0.2
26,Three guys playing a pro game of basketball.,two guys playing a game of baseball.,2.4
27,A sad man is jumping over a small stream to meet his companion on the other side.,A man is jumping over a stream to meet his companion on the other side.,3.8
28,The boys are earning their next belt in karate.,Five girls and one boy are in their swimsuits all in the middle of jumping into the pool.,0.2
29,A woman is digging in the sand.,A man is buried in the sand.,1.4
30,A woman drives a golf cart.,A man riding a cart.,1.8
31,A woman is bungee jumping.,A girl is bungee jumping.,4.2
32,A clown performs for brother and sister as the rest of the party watches.,A blond-haired child performing on the trumpet in front of a house while his younger brother watches.,1.2
33,A person filming the outdoors.,There is a couple outdoors.,1.6
34,A human riding a skateboard.,A child is riding a skateboard.,3.8
35,A woman in a plaid outfit is looking through a bag of produce.,"This is the picture of a woman in a flowered dress, toting something in a bucket.",1.0
36,Four girls happily walk down a sidewalk.,Three young girls walk down a sidewalk.,3.4
37,The tennis player hit the ball into outer space and broke the death star.,A female tennis player is leaping into the air to hit the ball.,1.2
38,A boy climbs a forest hill.,A boy is climbing a hill.,4.0
39,a group of navy seals are singing,A group of military personnel are playing in a brass quintet.,2.4
40,Blond boy jumping onto deck.,A boy jumping down a wet inflatable slide.,2.0
41,A man uses a chainsaw to sculpt a phallic ice sculpture.,A man is using a chainsaw to carve a wooden sculpture.,2.6
42,A group of male construction workers repair railroad tracks on a cloudy day,A crew of workers working on a railroad track.,3.8
43,A man playing the violin in the rain.,A man playing the guitar in the rain.,3.2
44,The people are leaving the airplane.,The people are entering the plane.,2.2
45,The dogs are chasing a cat.,The dogs are chasing a black cat.,4.4
46,The girl has something on her head.,The woman has something with her.,2.6
47,the tan dog is playing with the red dog out in the snow,A yellow dog is playing in the snow.,2.6
48,People making a structure out of cards.,Two people are together and one is using a piece of clothing in a different way than intended.,0.2
49,a girl with vases in the background inside her house,The girl is standing as the other girl with glasses works on her hand painting.,0.2
50,There are four people outside.,Five people are outside.,3.0
51,A person sitting in an office takes a picture.,A woman is sitting in an office.,3.2
52,Girls are holding hands in blue clothes,The young people are wearing jeans with their red and green shirts.,1.8
53,People rock jumping into water while people fish in the background.,Two people watching the water.,2.2
54,A man is demonstrating how to work with clay while at least two people observe.,At least one of the three women is talking to the others.,0.6
55,A dog has a sweater on.,A man in a suit jacket is sitting on a red couch with a cat.,0.6
56,A blonde woman looks for medical supplies for work in a suitcase.,The blond woman is searching for medical supplies in a suitcase.,5.0
57,A boy is at school taking a test.,The boy is taking a test at school.,5.0
58,An old man wearing a hat stands outside a shop door.,a man in an oversized shirt sits at a shop,2.2
59,Sculptor applying concrete to large statue of human figure standing with no head.,A person is standing in front of a building holding aloft some plywood,0.2
60,A boy with dark hair is in water and is looking up.,The man is short hair.,0.6
61,A pole is behind a person that is playing peekaboo with a child.,There is a child with a ball,0.2
62,A woman is about to paint.,A boy is about to take a picture.,1.0
63,The carriage is drawn by a horse.,A man riding on a bicycle by side of building.,0.4
64,a man working at the steel mill,A man working in a foundry.,3.4
65,The young woman is flirting with the young boy.,The girl is young and cheery.,1.4
66,A woman looks at a duck as she walks behind it.,A woman is going on a walk with her dog.,1.0
67,the men are about to score in a water polo tournament,The two men are about to compete in a match.,2.0
68,Man sitting on a bench drink from a mug surrounded by rugs.,A man is sitting on one of two red benches and staring into a kiosk.,2.2
69,A man eats popcorn while watching cartoons late one night.,A man and a girl are watching cartoons at home,2.8
70,Three men sit on a bench.,two men sit on a bench.,3.2
71,The road is long.,There is nothing on the side of the road.,0.8
72,A small blond boy slides head first down a blue playground slide toward another blond youth.,"A young boy with his hair standing up, is sliding down a blue slide",2.0
73,The four women are practicing for a upcoming match.,The women are in a play,1.2
74,a young man wearing a white t-shirt and green and black shorts standing on a stump.,A man wearing a white shirt and red and black shorts is running on the sidewalk.,1.8
75,man on steps,A man sits on steps.,4.0
76,A dog under the stairs,A dog is resting on the stairs.,2.2
